Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1f2V8U1BiWaC9aJWmpOARe,"0L8ExT028jH3ddEcZwqJJ5","By the Way","By the Way (Deluxe Edition)","Red Hot Chili Peppers",2002-07-09,216933,79,spotify:user:agutog,2018-12-29T04:56:05Z,"alternative rock,funk metal,funk rock,permanent wave,rock",0.451,0.97,0,-4.938,1,0.107,0.0264,0.00355,0.102,0.198,122.444,4
6gU7ohksNd6LsEJMWfDRhp,"0epOFNiUfyON9EYx7Tpr6V","Soma","Is This It","The Strokes",2001-07-30,153840,56,spotify:user:1267082388,2019-03-21T14:23:30Z,"alternative rock,garage rock,modern rock,permanent wave,rock",0.499,0.706,0,-7.335,1,0.0302,0.0747,0.00289,0.0753,0.483,148.928,4
0jBE7Fn78EAvmIs3dCd6GO,"0epOFNiUfyON9EYx7Tpr6V","Is This It","Is This It","The Strokes",2001-07-30,151333,65,spotify:user:1267082388,2019-03-21T14:23:35Z,"alternative rock,garage rock,modern rock,permanent wave,rock",0.667,0.692,5,-8.361,1,0.0285,0.147,0.0000375,0.349,0.846,96.022,4
0uppYCG86ajpV2hSR3dJJ0,"0L8ExT028jH3ddEcZwqJJ5","Give It Away","Blood Sugar Sex Magik (Deluxe Edition)","Red Hot Chili Peppers",1991-09-24,282906,78,spotify:user:agutog,2019-07-21T16:55:12Z,"alternative rock,funk metal,funk rock,permanent wave,rock",0.666,0.936,7,-9.919,1,0.0476,0.00244,0.086,0.153,0.776,91.577,4
4UF1eupXP9Zz5GpYepyOxI,"0epOFNiUfyON9EYx7Tpr6V","Razorblade","First Impressions Of Earth","The Strokes",2006-01-03,208133,59,spotify:user:agutog,2019-07-21T17:02:25Z,"alternative rock,garage rock,modern rock,permanent wave,rock",0.394,0.859,9,-3.851,1,0.0409,0.00201,0.233,0.1,0.511,136.075,5
5MtN38MGEWJt60LwtBmFNP,"5fsDcuclIe8ZiBD5P787K1","Texas Flood","Texas Flood (Legacy Edition)","Stevie Ray Vaughan",1983,320906,60,spotify:user:mattcmcd16,2019-07-23T19:48:23Z,"album rock,blues,blues rock,classic rock,electric blues,hard rock,heartland rock,instrumental rock,rock,texas blues",0.256,0.423,6,-11.994,1,0.035,0.000788,0.402,0.25,0.441,173.27,3
3kKb3U3a8jmUJQB9ypE1Jl,"0epOFNiUfyON9EYx7Tpr6V","Under Control","Room On Fire","The Strokes",2003-10-28,187306,60,spotify:user:agutog,2019-12-26T18:35:58Z,"alternative rock,garage rock,modern rock,permanent wave,rock",0.406,0.72,1,-4.647,1,0.0291,0.354,0.795,0.0541,0.641,91.336,4
08l9WKDuRyGeStQ9ojTlFh,"0epOFNiUfyON9EYx7Tpr6V","Meet Me in the Bathroom","Room On Fire","The Strokes",2003-10-28,176160,56,spotify:user:agutog,2019-12-26T18:36:03Z,"alternative rock,garage rock,modern rock,permanent wave,rock",0.427,0.941,7,-3.973,1,0.0336,0.000067,0.89,0.0772,0.587,139.956,4
6mVD1SfTvlFAPVi7txFL5H,"0epOFNiUfyON9EYx7Tpr6V","Machu Picchu","Angles","The Strokes",2011-03-21,209626,68,spotify:user:agutog,2019-12-26T18:36:11Z,"alternative rock,garage rock,modern rock,permanent wave,rock",0.695,0.817,1,-5.294,1,0.0659,0.0132,0.097,0.0601,0.874,105.014,4
1Se0r96r0gnqg67kJPmESc,"0L8ExT028jH3ddEcZwqJJ5","Parallel Universe","Californication (Deluxe Edition)","Red Hot Chili Peppers",1999-06-08,269360,66,spotify:user:mattcmcd16,2019-12-27T22:32:27Z,"alternative rock,funk metal,funk rock,permanent wave,rock",0.343,0.983,0,-2.359,0,0.212,0.00107,0.296,0.0708,0.186,124.536,4
7e8utCy2JlSB8dRHKi49xM,"7Ln80lUS6He07XvHI8qqHH","Fluorescent Adolescent","Favourite Worst Nightmare (Standard Version)","Arctic Monkeys",2007-04-24,173493,74,spotify:user:jcg4sg,2021-10-29T21:40:04Z,"garage rock,modern rock,permanent wave,rock,sheffield indie",0.646,0.813,6,-5.29,0,0.0288,0.00178,0.0000226,0.144,0.821,112.115,4
21sa0bWFqOFEYPtahlt4Lt,"7Ln80lUS6He07XvHI8qqHH","Crying Lightning","Humbug","Arctic Monkeys",2009-08-25,224826,2,spotify:user:jcg4sg,2021-10-29T21:40:28Z,"garage rock,modern rock,permanent wave,rock,sheffield indie",0.498,0.885,4,-4.423,0,0.0461,0.0148,0.00041,0.239,0.67,106.719,4
4KcH1ZRV2W1q7Flq0QqC76,"1co4F2pPNH8JjTutZkmgSm","Blitzkrieg Bop - 2016 Remaster","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Ramones",1976-04-23,134466,76,spotify:user:jcg4sg,2021-10-29T21:44:00Z,"alternative rock,early us punk,permanent wave,punk,rock",0.385,0.783,9,-2.533,1,0.233,0.000269,0.47,0.108,0.902,176.701,4
5NoQvINZLBV1wMYPdNmReL,"1co4F2pPNH8JjTutZkmgSm","I Wanna Be Sedated","Road to Ruin (40th Anniversary Deluxe Edition)","Ramones",1978,149786,74,spotify:user:jcg4sg,2021-10-29T21:44:05Z,"alternative rock,early us punk,permanent wave,punk,rock",0.56,0.965,11,-2.341,1,0.0409,0.121,0.00000623,0.169,0.964,162.825,4
3SoDB59Y7dSZLSDBiNJ6o2,"0L8ExT028jH3ddEcZwqJJ5","Charlie","Stadium Arcadium","Red Hot Chili Peppers",2006-05-09,277533,61,spotify:user:jcg4sg,2021-10-29T21:44:16Z,"alternative rock,funk metal,funk rock,permanent wave,rock",0.6,0.912,7,-3.449,0,0.0724,0.0198,0.0000652,0.0883,0.506,110.339,4
1uBsu3PbD2909UBIfEMLvK,"22bE4uQ6baNwSHPVcDxLCe","Jumpin' Jack Flash","Jumpin' Jack Flash / Child Of The Moon","The Rolling Stones",2021-05-28,222933,58,spotify:user:jcg4sg,2021-10-29T21:45:55Z,"album rock,british invasion,classic rock,rock",0.595,0.885,3,-7.688,1,0.0518,0.0744,0.534,0.0844,0.643,137.243,4
3iiObSfkcBsETljmSB4Hcs,"0epOFNiUfyON9EYx7Tpr6V","When It Started","Is This It","The Strokes",2001-07-30,175200,50,spotify:user:jcg4sg,2021-10-29T21:46:15Z,"alternative rock,garage rock,modern rock,permanent wave,rock",0.721,0.654,0,-8.107,1,0.0329,0.268,0.00392,0.15,0.903,131.963,4
70wYA8oYHoMzhRRkARoMhU,"0C0XlULifJtAgn6ZNCW2eu","When You Were Young","Sam's Town","The Killers",2006-09-27,220426,81,spotify:user:jcg4sg,2021-10-29T21:46:27Z,"alternative rock,dance rock,modern rock,permanent wave,rock",0.467,0.988,11,-3.313,1,0.112,0.000152,0.0484,0.28,0.321,130.433,4
6kopmMZiyLmw7h66uXcXR7,"3hv9jJF3adDNsBSIQDqcjp,6Q192DXotxtaysaqNPy5yR","Valerie (feat. Amy Winehouse) - Version Revisited","Version","Mark Ronson,Amy Winehouse",2007-04-16,219413,82,spotify:user:jcg4sg,2021-10-29T21:46:41Z,"pop soul,british soul,neo soul",0.699,0.83,1,-4.898,1,0.0633,0.00243,0.00024,0.0995,0.889,105.809,4
5s457o0GLooprDJNitW5WF,"0C0XlULifJtAgn6ZNCW2eu","Mr. Brightside - Live From The Royal Albert Hall / 2009","Live From The Royal Albert Hall","The Killers",2009-11-03,233440,44,spotify:user:jcg4sg,2021-10-29T21:46:56Z,"alternative rock,dance rock,modern rock,permanent wave,rock",0.352,0.967,1,-4.811,1,0.154,0.0000886,0,0.547,0.127,144.717,4
6K4t31amVTZDgR3sKmwUJJ,"5INjqkS1o8h1imAzPqGZBb","The Less I Know The Better","Currents","Tame Impala",2015-07-17,216320,88,spotify:user:jcg4sg,2023-03-22T14:24:14Z,"australian psych,modern rock,neo-psychedelic,rock",0.64,0.74,4,-4.083,1,0.0284,0.0115,0.00678,0.167,0.785,116.879,4
28IEbk5a7twNTbUEvWslUb,"0niJkG4tKkne3zwr7I8n9n","Paralyzer","Them Vs. You Vs. Me (Deluxe Edition)","Finger Eleven",2007-01-01,208106,79,spotify:user:jcg4sg,2023-03-22T14:24:27Z,"alternative metal,canadian rock,funk metal,nu metal,post-grunge",0.644,0.939,11,-3.486,0,0.0456,0.157,0,0.233,0.861,106.031,4
3BcQFPRZuuUClWStz29WjN,"7Ln80lUS6He07XvHI8qqHH","Old Yellow Bricks","Favourite Worst Nightmare (Standard Version)","Arctic Monkeys",2007-04-24,187133,61,spotify:user:jcg4sg,2023-03-22T14:25:17Z,"garage rock,modern rock,permanent wave,rock,sheffield indie",0.663,0.839,0,-4.453,1,0.0695,0.000185,0.00000465,0.0808,0.75,135.155,4
0ntQJM78wzOLVeCUAW7Y45,"2qk9voo8llSGYcZ6xrBzKx","Sex on Fire","Only By The Night","Kings of Leon",2008-09-23,203346,85,spotify:user:jcg4sg,2023-06-13T01:53:15Z,"modern rock,rock",0.542,0.905,9,-5.653,1,0.054,0.00172,0.0104,0.136,0.374,153.398,4
5VGlqQANWDKJFl0MBG3sg2,"2qk9voo8llSGYcZ6xrBzKx","Use Somebody","Only By The Night","Kings of Leon",2008-09-23,230760,81,spotify:user:jcg4sg,2023-06-13T01:53:16Z,"modern rock,rock",0.276,0.715,0,-5.356,1,0.0432,0.00552,0.000417,0.201,0.173,137.028,4
